,mean,sd,quality
2014-11-22,66.72012345679012,308.6482626003823,100.0
2014-11-23,68.41580246913581,314.22530193264276,100.0
2014-11-24,69.34987654320987,319.8239079927181,100.0
2014-11-25,76.6469135802469,328.33094835714905,100.0
2014-11-26,76.20925925925926,327.96139344356436,100.0
2014-11-27,75.96345679012346,327.8882104283428,100.0
2014-11-28,75.50975308641976,327.53652305878546,100.0
2014-11-29,82.20382716049383,331.8474984219706,100.0
2014-11-30,86.8969135802469,331.72085404614666,100.0
2014-12-01,86.8969135802469,331.72085404614666,100.0
2014-12-02,86.8969135802469,331.72085404614666,100.0
2014-12-03,86.79975308641974,331.74486310633097,100.0
2014-12-04,85.55308641975307,331.8116808019346,100.0
2014-12-05,83.10666666666668,331.9444006381189,100.0
2014-12-06,81.61876543209877,331.53798689736414,100.0
2014-12-07,81.07358024691356,331.2804070998942,100.0
2014-12-08,80.42962962962963,330.9064864483788,100.0
2014-12-09,79.62160493827162,330.40888364818824,100.0
2014-12-10,78.97987654320987,330.1399005932705,100.0
2014-12-11,79.74074074074075,336.2479048959926,100.0
2014-12-12,80.35456790123459,340.0336094493065,100.0
2014-12-13,80.4441975308642,341.2971847776663,100.0
2014-12-14,80.7062962962963,342.03220545529206,100.0
2014-12-15,80.68802469135802,342.03609519837136,100.0
2014-12-16,80.6741975308642,342.0391142868905,100.0
2014-12-17,81.53716049382716,343.6770846239045,100.0
2014-12-18,81.17234567901235,343.52192868968206,100.0
2014-12-19,80.91481481481482,343.51097640072254,100.0
2014-12-20,81.61345679012345,348.77734268498756,100.0
2014-12-21,83.42148148148148,360.8290921479001,100.0
2014-12-22,83.12086419753088,360.7791011207466,100.0
2014-12-23,84.62037037037038,363.59616870383985,100.0
2014-12-24,84.49407407407406,363.57962466899124,100.0
2014-12-25,86.89481481481481,365.9111628869469,100.0
2014-12-26,88.69333333333333,367.2215767693942,100.0
2014-12-27,98.34950617283948,368.86911481547634,100.0
2014-12-28,103.88135802469135,378.3640213265298,100.0
2014-12-29,109.06654320987654,381.8555455638968,100.0
2014-12-30,116.41888888888889,381.62917126446195,100.0
2014-12-31,116.41888888888889,381.62917126446195,100.0
2015-01-01,116.41888888888889,381.62917126446195,100.0
2015-01-02,175.28728395061728,252.04968469536095,100.0
2015-01-03,174.00086419753086,251.91091338604969,100.0
2015-01-04,173.87691358024693,251.99200784271895,100.0
2015-01-05,176.82370370370373,262.6238135263273,100.0
2015-01-06,174.11061728395063,262.6290552249773,100.0
2015-01-07,171.1638271604938,262.47690886327456,100.0
2015-01-08,166.7920987654321,262.02791457550876,100.0
2015-01-09,163.1267901234568,261.39898101765414,100.0
2015-01-10,160.69975308641975,261.02192445259897,100.0
2015-01-11,158.80592592592595,260.59762030656464,100.0
2015-01-12,157.7638271604938,260.44211399833125,100.0
2015-01-13,157.00234567901234,260.3231787810663,100.0
2015-01-14,156.24024691358025,259.9449429878148,100.0
2015-01-15,154.86666666666667,259.01859430357507,100.0
2015-01-16,153.52802469135804,258.1278793564333,100.0
2015-01-17,153.91333333333333,260.5462615784383,100.0
2015-01-18,153.18345679012347,260.2618528768694,100.0
2015-01-19,152.43506172839506,260.00870128287755,100.0
2015-01-20,154.1525925925926,264.88805099408404,100.0
2015-01-21,154.03086419753086,264.9265232908813,100.0
2015-01-22,153.41333333333333,264.6262246263586,100.0
2015-01-23,152.60827160493827,264.3297597405092,100.0
2015-01-24,150.8920987654321,263.3798567550111,100.0
